id,type,estate_product,property_cost_method,create_uid/id,create_date,property_account_expense_categ_id/id,removal_strategy_id/id,property_account_income_categ_id/id,property_valuation,write_uid/id,write_date,parent_left,name,parent_id/id,property_account_creditor_price_difference_categ/id,parent_right,route_ids/id,sequence,property_stock_account_input_categ_id/id,property_stock_journal/id,property_stock_account_output_categ_id/id,property_stock_valuation_account_id/id
product_product_category_pg_16_a3,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Selang,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a4,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Valve,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a5,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Glue,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a6,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Pipe PVC,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a7,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Fitting PVC,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a8,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Pipe Galvanis,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a9,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Fitting Galvanis,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_16_a0,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Pipe Seamless,product_product_category_pg_16,,17,,0,,,,
product_product_category_pg_17,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,"Jasa Sipil, Teknik dan Konsultan",product_product_category_pg,,17,,0,,,,
product_product_category_pg_17_a3,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Pemeliharaan - kendaraan,product_product_category_pg_17,,17,,0,,,,
